engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
graaljs,replace-loop,replace-regex,split-join,50936271.0,102098615.5,2.00443835984774
graaljs,replace-size,replaceAll,baseline,13344814.5,113274307.0,8.488263887070142
graaljs,replace-size,replaceAll,replace-regex,13344814.5,41377244.5,3.100623429422717
graaljs,replace-size,replaceAll,replaceAll,13344814.5,13344814.5,1.0
graaljs,replace-size,replaceAll,replaceAll-regex,13344814.5,41401810.5,3.1024642942770018
graaljs,replace-size,replaceAll,split-join,13344814.5,37656153.5,2.821781711540464
graaljs,search-string,baseline,baseline,163696754.5,163696754.5,1.0
graaljs,search-string,baseline,indexOf,163696754.5,163782418.0,1.0005233060378116
graaljs,string-from-array,join,baseline,74634758.0,101027604.5,1.3536267445256538
graaljs,string-from-array,join,concat,74634758.0,1058300909.5,14.179732578485751
graaljs,string-from-array,join,join,74634758.0,74634758.0,1.0
graaljs,string-from-array,join,literal,74634758.0,107111511.5,1.435142477449984
graaljs,substring,baseline,baseline,106630068.0,106630068.0,1.0
graaljs,substring,baseline,charAt,106630068.0,106994843.0,1.0034209393920672
graaljs,substring,baseline,substr,106630068.0,106847718.5,1.002041173789742
graaljs,sum-array,reduce,baseline,80807746.0,85913598.5,1.0631851864795239
graaljs,sum-array,reduce,reduce,80807746.0,80807746.0,1.0
hermes,access-char,baseline,baseline,164052833.0,164052833.0,1.0
hermes,access-char,baseline,charAt,164052833.0,270691232.0,1.650024733190679
hermes,array-max,max-apply,baseline,41723495.5,162498485.5,3.8946517676113688
hermes,array-max,max-apply,for,41723495.5,126405896.0,3.029609443916318
hermes,array-max,max-apply,max-apply,41723495.5,41723495.5,1.0
hermes,even-odd,bitwise,baseline,45029700.5,151116831.0,3.3559368443945123
hermes,even-odd,bitwise,bitwise,45029700.5,45029700.5,1.0
hermes,filter,baseline,baseline,167690855.5,167690855.5,1.0
hermes,filter,baseline,for,167690855.5,289611502.5,1.7270560260216454
hermes,flatten-array,spread-concat,baseline,3856405.5,180486842.5,46.80183204281811
hermes,flatten-array,spread-concat,flat,3856405.5,7715007.0,2.000569442191699
hermes,flatten-array,spread-concat,spread-concat,3856405.5,3856405.5,1.0
hermes,function,arrow,arrow,45479284.5,45479284.5,1.0
hermes,function,arrow,baseline,45479284.5,159677661.5,3.510997660924063
hermes,function,arrow,inline,45479284.5,45491918.5,1.000277796806588
hermes,json,hoist,baseline,14173669.5,126417218.0,8.91915943150784
hermes,json,hoist,hoist,14173669.5,14173669.5,1.0
hermes,lookup,map,baseline,45629766.0,98472190.5,2.1580691538063115
hermes,lookup,map,map,45629766.0,45629766.0,1.0
