category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,charAt,v8,4096,10,409850,0.0210936,31232
access-char,charAt,v8,8192,1,416869,0.0207357,31232
access-char,charAt,v8,8192,2,408263,0.020779,31360
access-char,charAt,v8,8192,3,413512,0.0206259,31232
access-char,charAt,v8,8192,4,392150,0.0206797,31360
access-char,charAt,v8,8192,5,413207,0.0208218,31488
access-char,charAt,v8,8192,6,414305,0.0208456,31232
access-char,charAt,v8,8192,7,412596,0.0207977,31360
access-char,charAt,v8,8192,8,411437,0.0208128,31616
access-char,charAt,v8,8192,9,408568,0.0208343,31104
access-char,charAt,v8,8192,10,405639,0.0208676,31360
access-char,charAt,v8,16384,1,412658,0.0210885,32384
access-char,charAt,v8,16384,2,409606,0.0208722,32128
access-char,charAt,v8,16384,3,414733,0.0213652,32256
access-char,charAt,v8,16384,4,396301,0.0207493,32256
access-char,charAt,v8,16384,5,412780,0.0209229,32000
access-char,charAt,v8,16384,6,404662,0.0211796,32256
access-char,charAt,v8,16384,7,415648,0.0209019,32000
access-char,charAt,v8,16384,8,406004,0.0211377,32256
access-char,charAt,v8,16384,9,413207,0.0210555,31872
access-char,charAt,v8,16384,10,415404,0.0210665,32000
access-char,charAt,v8,32768,1,410827,0.0214648,32768
access-char,charAt,v8,32768,2,434997,0.0212168,32896
access-char,charAt,v8,32768,3,409178,0.0214098,33024
access-char,charAt,v8,32768,4,412169,0.0210432,32768
access-char,charAt,v8,32768,5,413085,0.0212948,32640
access-char,charAt,v8,32768,6,418334,0.0212055,32768
access-char,charAt,v8,32768,7,410278,0.0213315,32640
access-char,charAt,v8,32768,8,410705,0.0211164,32896
access-char,charAt,v8,32768,9,409972,0.0213617,33152
access-char,charAt,v8,32768,10,410094,0.0211845,32768
access-char,charAt,v8,65536,1,437316,0.0217544,33280
access-char,charAt,v8,65536,2,434325,0.0217608,33280
access-char,charAt,v8,65536,3,411865,0.0215549,32768
access-char,charAt,v8,65536,4,434325,0.0215852,32896
access-char,charAt,v8,65536,5,432250,0.021642,33152
access-char,charAt,v8,65536,6,436401,0.0216778,33024
access-char,charAt,v8,65536,7,435729,0.0215859,32640
access-char,charAt,v8,65536,8,412170,0.0214861,33280
access-char,charAt,v8,65536,9,414733,0.0215066,33280
access-char,charAt,v8,65536,10,431396,0.0214602,33024
access-char,charAt,v8,131072,1,458739,0.0223278,34816
access-char,charAt,v8,131072,2,458251,0.022697,34816
access-char,charAt,v8,131072,3,456969,0.0228134,35456
access-char,charAt,v8,131072,4,441161,0.0223834,34944
access-char,charAt,v8,131072,5,441649,0.0226235,35456
access-char,charAt,v8,131072,6,435302,0.0222628,34816
access-char,charAt,v8,131072,7,433470,0.0223306,34688
access-char,charAt,v8,131072,8,427428,0.0226417,35328
access-char,charAt,v8,131072,9,431029,0.0225106,35456
access-char,charAt,v8,131072,10,455992,0.0226501,35328
access-char,charAt,v8,262144,1,481628,0.024052,35968
access-char,charAt,v8,262144,2,474669,0.0240799,36352
access-char,charAt,v8,262144,3,488096,0.0238374,36608
access-char,charAt,v8,262144,4,490111,0.0239811,36352
access-char,charAt,v8,262144,5,490905,0.0239516,35968
access-char,charAt,v8,262144,6,482787,0.0238426,35840
access-char,charAt,v8,262144,7,481444,0.024138,36352
access-char,charAt,v8,262144,8,459776,0.0239483,36352
access-char,charAt,v8,262144,9,482237,0.0238131,36480
access-char,charAt,v8,262144,10,477355,0.0239997,36352
access-char,charAt,v8,524288,1,540953,0.0263662,36736
access-char,charAt,v8,524288,2,539610,0.026198,36608
access-char,charAt,v8,524288,3,530150,0.0268019,36096
access-char,charAt,v8,524288,4,528808,0.0261407,36352
access-char,charAt,v8,524288,5,527342,0.0260959,36480
access-char,charAt,v8,524288,6,524596,0.0262589,36096
access-char,charAt,v8,524288,7,544310,0.0264566,36352
access-char,charAt,v8,524288,8,522277,0.0264251,36736
access-char,charAt,v8,524288,9,530334,0.0261691,36992
access-char,charAt,v8,524288,10,526793,0.0262843,36352
access-char,charAt,v8,1048576,1,610167,0.0305229,36864
access-char,charAt,v8,1048576,2,616576,0.0308598,36608
access-char,charAt,v8,1048576,3,593077,0.0305715,36736
access-char,charAt,v8,1048576,4,601439,0.0304422,36480
access-char,charAt,v8,1048576,5,607238,0.0305403,36224
access-char,charAt,v8,1048576,6,624144,0.0304983,36608
access-char,charAt,v8,1048576,7,624998,0.0305536,36480
access-char,charAt,v8,1048576,8,619383,0.0306363,36736
access-char,charAt,v8,1048576,9,614623,0.030754,36736
access-char,charAt,v8,1048576,10,607237,0.0305997,36480
access-char,charAt,v8,2097152,1,769713,0.039552,36736
access-char,charAt,v8,2097152,2,780760,0.0394291,35840
access-char,charAt,v8,2097152,3,761229,0.0393249,36096
access-char,charAt,v8,2097152,4,772643,0.0390758,36224
access-char,charAt,v8,2097152,5,792966,0.0393564,36736
access-char,charAt,v8,2097152,6,766295,0.0394798,36480
access-char,charAt,v8,2097152,7,759215,0.0389153,36992
access-char,charAt,v8,2097152,8,764524,0.0392927,36096
access-char,charAt,v8,2097152,9,788206,0.0391675,36480
access-char,charAt,v8,2097152,10,768125,0.0393247,36864
access-char,charAt,v8,4194304,1,1085873,0.0569124,36480
access-char,charAt,v8,4194304,2,1082028,0.056607,36224
access-char,charAt,v8,4194304,3,1064146,0.0563748,36096
access-char,charAt,v8,4194304,4,1076658,0.0568399,36352
access-char,charAt,v8,4194304,5,1084531,0.0566208,36736
access-char,charAt,v8,4194304,6,1088681,0.0563469,36480
access-char,charAt,v8,4194304,7,1083310,0.0566968,36224
access-char,charAt,v8,4194304,8,1076657,0.056684,35968
